cty_id,location_code,total_voters_processed,reg_name,prv_name,cty_name
0,BARMM|BASILAN|AKBAR,7128,BARMM,BASILAN,AKBAR
1,BARMM|BASILAN|AL-BARKA,4183,BARMM,BASILAN,AL-BARKA
2,BARMM|BASILAN|CITY OF ISABELA,54488,BARMM,BASILAN,CITY OF ISABELA
3,BARMM|BASILAN|CITY OF LAMITAN,42760,BARMM,BASILAN,CITY OF LAMITAN
4,BARMM|BASILAN|HADJI MOHAMMAD AJUL,17083,BARMM,BASILAN,HADJI MOHAMMAD AJUL
5,BARMM|BASILAN|LANTAWAN,17277,BARMM,BASILAN,LANTAWAN
6,BARMM|BASILAN|MALUSO,23266,BARMM,BASILAN,MALUSO
7,BARMM|BASILAN|SUMISIP,21312,BARMM,BASILAN,SUMISIP
8,BARMM|BASILAN|TABUAN-LASA,14416,BARMM,BASILAN,TABUAN-LASA
9,BARMM|BASILAN|TIPO-TIPO,9455,BARMM,BASILAN,TIPO-TIPO
10,BARMM|BASILAN|TUBURAN,6737,BARMM,BASILAN,TUBURAN
11,BARMM|BASILAN|UNGKAYA PUKAN,9574,BARMM,BASILAN,UNGKAYA PUKAN
12,BARMM|LANAO DEL SUR|AMAI MANABILANG,5610,BARMM,LANAO DEL SUR,AMAI MANABILANG
13,BARMM|LANAO DEL SUR|BACOLOD-KALAWI,8574,BARMM,LANAO DEL SUR,BACOLOD-KALAWI
14,BARMM|LANAO DEL SUR|BALABAGAN,18057,BARMM,LANAO DEL SUR,BALABAGAN
15,BARMM|LANAO DEL SUR|BALINDONG,15542,BARMM,LANAO DEL SUR,BALINDONG
16,BARMM|LANAO DEL SUR|BINIDAYAN,8188,BARMM,LANAO DEL SUR,BINIDAYAN
17,BARMM|LANAO DEL SUR|BUADIPOSO-BUNTONG,9605,BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG
18,BARMM|LANAO DEL SUR|BUBONG,353,BARMM,LANAO DEL SUR,BUBONG
19,BARMM|LANAO DEL SUR|BUTIG,2026,BARMM,LANAO DEL SUR,BUTIG
20,BARMM|LANAO DEL SUR|CALANOGAS,6020,BARMM,LANAO DEL SUR,CALANOGAS
21,BARMM|LANAO DEL SUR|CITY OF MARAWI,50645,BARMM,LANAO DEL SUR,CITY OF MARAWI
22,BARMM|LANAO DEL SUR|DITSAAN-RAMAIN,3207,BARMM,LANAO DEL SUR,DITSAAN-RAMAIN
23,BARMM|LANAO DEL SUR|GANASSI,588,BARMM,LANAO DEL SUR,GANASSI
24,BARMM|LANAO DEL SUR|KAPAI,13776,BARMM,LANAO DEL SUR,KAPAI
25,BARMM|LANAO DEL SUR|KAPATAGAN,12055,BARMM,LANAO DEL SUR,KAPATAGAN
26,BARMM|LANAO DEL SUR|LUMBA-BAYABAO,15382,BARMM,LANAO DEL SUR,LUMBA-BAYABAO
27,BARMM|LANAO DEL SUR|LUMBACA-UNAYAN,5163,BARMM,LANAO DEL SUR,LUMBACA-UNAYAN
28,BARMM|LANAO DEL SUR|LUMBATAN,2412,BARMM,LANAO DEL SUR,LUMBATAN
29,BARMM|LANAO DEL SUR|LUMBAYANAGUE,413,BARMM,LANAO DEL SUR,LUMBAYANAGUE
30,BARMM|LANAO DEL SUR|MADALUM,10561,BARMM,LANAO DEL SUR,MADALUM
31,BARMM|LANAO DEL SUR|MADAMBA,3305,BARMM,LANAO DEL SUR,MADAMBA
32,BARMM|LANAO DEL SUR|MALABANG,25133,BARMM,LANAO DEL SUR,MALABANG
33,BARMM|LANAO DEL SUR|MARANTAO,26711,BARMM,LANAO DEL SUR,MARANTAO
34,BARMM|LANAO DEL SUR|MAROGONG,4719,BARMM,LANAO DEL SUR,MAROGONG
35,BARMM|LANAO DEL SUR|MASIU,13486,BARMM,LANAO DEL SUR,MASIU
36,BARMM|LANAO DEL SUR|MULONDO,5841,BARMM,LANAO DEL SUR,MULONDO
37,BARMM|LANAO DEL SUR|PIAGAPO,13086,BARMM,LANAO DEL SUR,PIAGAPO
38,BARMM|LANAO DEL SUR|PICONG,10786,BARMM,LANAO DEL SUR,PICONG
39,BARMM|LANAO DEL SUR|POONA BAYABAO,6127,BARMM,LANAO DEL SUR,POONA BAYABAO
40,BARMM|LANAO DEL SUR|PUALAS,9069,BARMM,LANAO DEL SUR,PUALAS
41,BARMM|LANAO DEL SUR|SAGUIARAN,9357,BARMM,LANAO DEL SUR,SAGUIARAN
42,BARMM|LANAO DEL SUR|TAMPARAN,16469,BARMM,LANAO DEL SUR,TAMPARAN
43,BARMM|LANAO DEL SUR|TARAKA,10018,BARMM,LANAO DEL SUR,TARAKA
44,BARMM|LANAO DEL SUR|TUBARAN,4283,BARMM,LANAO DEL SUR,TUBARAN
45,BARMM|LANAO DEL SUR|TUGAYA,12264,BARMM,LANAO DEL SUR,TUGAYA
46,BARMM|LANAO DEL SUR|WAO,28888,BARMM,LANAO DEL SUR,WAO
47,BARMM|MAGUINDANAO DEL NORTE|BARIRA,3953,BARMM,MAGUINDANAO DEL NORTE,BARIRA
48,BARMM|MAGUINDANAO DEL NORTE|BULDON,2077,BARMM,MAGUINDANAO DEL NORTE,BULDON
49,BARMM|MAGUINDANAO DEL NORTE|CITY OF COTABATO,89673,BARMM,MAGUINDANAO DEL NORTE,CITY OF COTABATO
50,BARMM|MAGUINDANAO DEL NORTE|DATU BLAH T. SINSUAT,11982,BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT
51,BARMM|MAGUINDANAO DEL NORTE|DATU ODIN SINSUAT,31595,BARMM,MAGUINDANAO DEL NORTE,DATU ODIN SINSUAT
52,BARMM|MAGUINDANAO DEL NORTE|KABUNTALAN,11609,BARMM,MAGUINDANAO DEL NORTE,KABUNTALAN
53,BARMM|MAGUINDANAO DEL NORTE|MATANOG,16747,BARMM,MAGUINDANAO DEL NORTE,MATANOG
54,BARMM|MAGUINDANAO DEL NORTE|NORTHERN KABUNTALAN,9127,BARMM,MAGUINDANAO DEL NORTE,NORTHERN KABUNTALAN
55,BARMM|MAGUINDANAO DEL NORTE|PARANG,48119,BARMM,MAGUINDANAO DEL NORTE,PARANG
56,BARMM|MAGUINDANAO DEL NORTE|SULTAN KUDARAT,57684,BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT
57,BARMM|MAGUINDANAO DEL NORTE|SULTAN MASTURA,15564,BARMM,MAGUINDANAO DEL NORTE,SULTAN MASTURA
58,BARMM|MAGUINDANAO DEL NORTE|TALITAY,12492,BARMM,MAGUINDANAO DEL NORTE,TALITAY
59,BARMM|MAGUINDANAO DEL NORTE|UPI,31135,BARMM,MAGUINDANAO DEL NORTE,UPI
60,BARMM|MAGUINDANAO DEL SUR|AMPATUAN,18531,BARMM,MAGUINDANAO DEL SUR,AMPATUAN
61,BARMM|MAGUINDANAO DEL SUR|BULUAN,13837,BARMM,MAGUINDANAO DEL SUR,BULUAN
62,BARMM|MAGUINDANAO DEL SUR|DATU ABDULLAH SANGKI,31842,BARMM,MAGUINDANAO DEL SUR,DATU ABDULLAH SANGKI
63,BARMM|MAGUINDANAO DEL SUR|DATU ANGGAL MIDTIMBANG,17189,BARMM,MAGUINDANAO DEL SUR,DATU ANGGAL MIDTIMBANG
64,BARMM|MAGUINDANAO DEL SUR|DATU HOFFER AMPATUAN,10087,BARMM,MAGUINDANAO DEL SUR,DATU HOFFER AMPATUAN
65,BARMM|MAGUINDANAO DEL SUR|DATU PAGLAS,16892,BARMM,MAGUINDANAO DEL SUR,DATU PAGLAS
66,BARMM|MAGUINDANAO DEL SUR|DATU PIANG,8897,BARMM,MAGUINDANAO DEL SUR,DATU PIANG
67,BARMM|MAGUINDANAO DEL SUR|DATU SALIBO,4677,BARMM,MAGUINDANAO DEL SUR,DATU SALIBO
68,BARMM|MAGUINDANAO DEL SUR|DATU SAUDI AMPATUAN,15309,BARMM,MAGUINDANAO DEL SUR,DATU SAUDI AMPATUAN
69,BARMM|MAGUINDANAO DEL SUR|DATU UNSAY,10195,BARMM,MAGUINDANAO DEL SUR,DATU UNSAY
70,BARMM|MAGUINDANAO DEL SUR|GEN. S. K. PENDATUN,19644,BARMM,MAGUINDANAO DEL SUR,GEN. S. K. PENDATUN
71,BARMM|MAGUINDANAO DEL SUR|GUINDULUNGAN,11583,BARMM,MAGUINDANAO DEL SUR,GUINDULUNGAN
72,BARMM|MAGUINDANAO DEL SUR|MAMASAPANO,15144,BARMM,MAGUINDANAO DEL SUR,MAMASAPANO
73,BARMM|MAGUINDANAO DEL SUR|MANGUDADATU,12310,BARMM,MAGUINDANAO DEL SUR,MANGUDADATU
74,BARMM|MAGUINDANAO DEL SUR|PAGAGAWAN,19089,BARMM,MAGUINDANAO DEL SUR,PAGAGAWAN
75,BARMM|MAGUINDANAO DEL SUR|PAGALUNGAN,23784,BARMM,MAGUINDANAO DEL SUR,PAGALUNGAN
76,BARMM|MAGUINDANAO DEL SUR|PAGLAT,8104,BARMM,MAGUINDANAO DEL SUR,PAGLAT
77,BARMM|MAGUINDANAO DEL SUR|PANDAG,9067,BARMM,MAGUINDANAO DEL SUR,PANDAG
78,BARMM|MAGUINDANAO DEL SUR|RAJAH BUAYAN,10082,BARMM,MAGUINDANAO DEL SUR,RAJAH BUAYAN
79,BARMM|MAGUINDANAO DEL SUR|SHARIFF AGUAK,16812,BARMM,MAGUINDANAO DEL SUR,SHARIFF AGUAK
80,BARMM|MAGUINDANAO DEL SUR|SHARIFF SAYDONA MUSTAPHA,9775,BARMM,MAGUINDANAO DEL SUR,SHARIFF SAYDONA MUSTAPHA
81,BARMM|MAGUINDANAO DEL SUR|SOUTH UPI,19102,BARMM,MAGUINDANAO DEL SUR,SOUTH UPI
82,BARMM|MAGUINDANAO DEL SUR|SULTAN SA BARONGIS,5635,BARMM,MAGUINDANAO DEL SUR,SULTAN SA BARONGIS
83,BARMM|MAGUINDANAO DEL SUR|TALAYAN,18216,BARMM,MAGUINDANAO DEL SUR,TALAYAN
84,BARMM|SPECIAL GEOGRAPHIC AREA|KADAYANGAN,8457,BARMM,SPECIAL GEOGRAPHIC AREA,KADAYANGAN
85,BARMM|SPECIAL GEOGRAPHIC AREA|KAPALAWAN,12718,BARMM,SPECIAL GEOGRAPHIC AREA,KAPALAWAN
86,BARMM|SPECIAL GEOGRAPHIC AREA|LIGAWASAN,17598,BARMM,SPECIAL GEOGRAPHIC AREA,LIGAWASAN
87,BARMM|SPECIAL GEOGRAPHIC AREA|MALIDEGAO,11762,BARMM,SPECIAL GEOGRAPHIC AREA,MALIDEGAO
88,BARMM|SPECIAL GEOGRAPHIC AREA|NABALAWAG,9513,BARMM,SPECIAL GEOGRAPHIC AREA,NABALAWAG
89,BARMM|SPECIAL GEOGRAPHIC AREA|OLD KAABAKAN,2424,BARMM,SPECIAL GEOGRAPHIC AREA,OLD KAABAKAN
90,BARMM|SPECIAL GEOGRAPHIC AREA|PAHAMUDDIN,11027,BARMM,SPECIAL GEOGRAPHIC AREA,PAHAMUDDIN
91,BARMM|SPECIAL GEOGRAPHIC AREA|TUGUNAN,6991,BARMM,SPECIAL GEOGRAPHIC AREA,TUGUNAN
92,BARMM|TAWI-TAWI|BONGAO,53034,BARMM,TAWI-TAWI,BONGAO
93,BARMM|TAWI-TAWI|LANGUYAN,20749,BARMM,TAWI-TAWI,LANGUYAN
94,BARMM|TAWI-TAWI|MAPUN,14477,BARMM,TAWI-TAWI,MAPUN
95,BARMM|TAWI-TAWI|PANGLIMA SUGALA,12925,BARMM,TAWI-TAWI,PANGLIMA SUGALA
96,BARMM|TAWI-TAWI|SAPA-SAPA,21566,BARMM,TAWI-TAWI,SAPA-SAPA
97,BARMM|TAWI-TAWI|SIBUTU,14762,BARMM,TAWI-TAWI,SIBUTU
98,BARMM|TAWI-TAWI|SIMUNUL,7270,BARMM,TAWI-TAWI,SIMUNUL
99,BARMM|TAWI-TAWI|SITANGKAI,17760,BARMM,TAWI-TAWI,SITANGKAI
100,BARMM|TAWI-TAWI|SOUTH UBIAN,13796,BARMM,TAWI-TAWI,SOUTH UBIAN
101,BARMM|TAWI-TAWI|TANDUBAS,11900,BARMM,TAWI-TAWI,TANDUBAS
102,BARMM|TAWI-TAWI|TURTLE ISLANDS,6432,BARMM,TAWI-TAWI,TURTLE ISLANDS
103,CORDILLERA ADMINISTRATIVE REGION|ABRA|BANGUED,32605,CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED
104,CORDILLERA ADMINISTRATIVE REGION|ABRA|BOLINEY,2907,CORDILLERA ADMINISTRATIVE REGION,ABRA,BOLINEY
105,CORDILLERA ADMINISTRATIVE REGION|ABRA|BUCAY,13852,CORDILLERA ADMINISTRATIVE REGION,ABRA,BUCAY
106,CORDILLERA ADMINISTRATIVE REGION|ABRA|BUCLOC,1948,CORDILLERA ADMINISTRATIVE REGION,ABRA,BUCLOC
107,CORDILLERA ADMINISTRATIVE REGION|ABRA|DAGUIOMAN,1349,CORDILLERA ADMINISTRATIVE REGION,ABRA,DAGUIOMAN
108,CORDILLERA ADMINISTRATIVE REGION|ABRA|DANGLAS,3352,CORDILLERA ADMINISTRATIVE REGION,ABRA,DANGLAS
