cand_id,name,vote_count,party,party_full,party_code
0,"LEE, MANOY WILBERT (AKSYON)",584004,AKSYON DEMOKRATIKO|AKSYON,AKSYON DEMOKRATIKO,AKSYON
1,"ONG, DOC WILLIE (AKSYON)",7353480,AKSYON DEMOKRATIKO|AKSYON,AKSYON DEMOKRATIKO,AKSYON
2,"CABONEGRO, ROY (DPP)",380419,DEMOCRATIC PARTY OF THE PHILIPPINES|DPP,DEMOCRATIC PARTY OF THE PHILIPPINES,DPP
3,"ARELLANO, ERNESTO (KTPNAN)",797818,KATIPUNAN NG KAMALAYANG KAYUMANGGI|KATIPUNAN,KATIPUNAN NG KAMALAYANG KAYUMANGGI,KATIPUNAN
4,"AQUINO, BAM (KNP)",20895171,KATIPUNAN NG NAGKAKAISANG PILIPINO PARTY|KANP,KATIPUNAN NG NAGKAKAISANG PILIPINO PARTY,KANP
5,"JOSE, RELLY JR. (KBL)",455178,KILUSANG BAGONG LIPUNAN|KBL,KILUSANG BAGONG LIPUNAN,KBL
6,"TULFO, ERWIN (LAKAS)",17065384,LAKAS CHRISTIAN MUSLIM DEMOCRATS|LAKAS CMD,LAKAS CHRISTIAN MUSLIM DEMOCRATS,LAKAS CMD
7,"BONG REVILLA,RAMON, JR.(LAKAS)",11980023,LAKAS CHRISTIAN MUSLIM DEMOCRATS|LAKAS CMD,LAKAS CHRISTIAN MUSLIM DEMOCRATS,LAKAS CMD
8,"PANGILINAN, KIKO (LP)",15290525,LIBERAL PARTY|LP,LIBERAL PARTY,LP
9,"ADONIS, JEROME (MKBYN)",776039,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
10,"ARAMBULO, RONNEL (MKBYN)",3838488,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
11,"ANDAMO, NARS ALYN (MKBYN)",825351,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
12,"BROSAS, ARLENE (MKBYN)",4336341,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
13,"CASIÑO, TEDDY (MKBYN)",4641398,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
14,"CASTRO, TEACHER FRANCE (MKBYN)",3664619,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
15,"DORINGO, NANAY MIMI (MKBYN)",740263,MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
