prv_id,location_code,total_voters_processed,reg_name,prv_name
0,BARMM|BASILAN,227679,BARMM,BASILAN
1,BARMM|LANAO DEL SUR,387719,BARMM,LANAO DEL SUR
2,BARMM|MAGUINDANAO DEL NORTE,341757,BARMM,MAGUINDANAO DEL NORTE
3,BARMM|MAGUINDANAO DEL SUR,345803,BARMM,MAGUINDANAO DEL SUR
4,BARMM|SPECIAL GEOGRAPHIC AREA,80490,BARMM,SPECIAL GEOGRAPHIC AREA
5,BARMM|TAWI-TAWI,194671,BARMM,TAWI-TAWI
6,CORDILLERA ADMINISTRATIVE REGION|ABRA,172204,CORDILLERA ADMINISTRATIVE REGION,ABRA
7,CORDILLERA ADMINISTRATIVE REGION|APAYAO,72548,CORDILLERA ADMINISTRATIVE REGION,APAYAO
8,CORDILLERA ADMINISTRATIVE REGION|BENGUET,343068,CORDILLERA ADMINISTRATIVE REGION,BENGUET
9,CORDILLERA ADMINISTRATIVE REGION|IFUGAO,117835,CORDILLERA ADMINISTRATIVE REGION,IFUGAO
10,CORDILLERA ADMINISTRATIVE REGION|KALINGA,140554,CORDILLERA ADMINISTRATIVE REGION,KALINGA
11,CORDILLERA ADMINISTRATIVE REGION|MOUNTAIN PROVINCE,98624,CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE
12,NATIONAL CAPITAL REGION|NATIONAL CAPITAL REGION - FOURTH DISTRICT,1790323,NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - FOURTH DISTRICT
13,NATIONAL CAPITAL REGION|NATIONAL CAPITAL REGION - MANILA,926887,NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - MANILA
14,NATIONAL CAPITAL REGION|NATIONAL CAPITAL REGION - SECOND DISTRICT,2034275,NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - SECOND DISTRICT
15,NATIONAL CAPITAL REGION|NATIONAL CAPITAL REGION - THIRD DISTRICT,1282909,NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION - THIRD DISTRICT
16,NIR|NEGROS OCCIDENTAL,1679045,NIR,NEGROS OCCIDENTAL
17,NIR|NEGROS ORIENTAL,830552,NIR,NEGROS ORIENTAL
18,NIR|SIQUIJOR,73727,NIR,SIQUIJOR
19,OAV|ASIA PACIFIC,92616,OAV,ASIA PACIFIC
20,OAV|EUROPE,27961,OAV,EUROPE
21,OAV|MIDDLE EAST AND AFRICAS,88370,OAV,MIDDLE EAST AND AFRICAS
22,OAV|NORTH AND LATIN AMERICAS,18640,OAV,NORTH AND LATIN AMERICAS
23,REGION III|AURORA,128475,REGION III,AURORA
24,REGION III|BATAAN,495413,REGION III,BATAAN
25,REGION III|BULACAN,1846999,REGION III,BULACAN
26,REGION III|NUEVA ECIJA,1349302,REGION III,NUEVA ECIJA
27,REGION III|PAMPANGA,1417820,REGION III,PAMPANGA
28,REGION III|TARLAC,826605,REGION III,TARLAC
29,REGION III|ZAMBALES,458477,REGION III,ZAMBALES
30,REGION II|BATANES,11488,REGION II,BATANES
31,REGION II|CAGAYAN,674064,REGION II,CAGAYAN
32,REGION II|ISABELA,943489,REGION II,ISABELA
33,REGION II|NUEVA VIZCAYA,257952,REGION II,NUEVA VIZCAYA
34,REGION II|QUIRINO,112310,REGION II,QUIRINO
35,REGION IV-A|BATANGAS,1696900,REGION IV-A,BATANGAS
36,REGION IV-A|CAVITE,1923752,REGION IV-A,CAVITE
37,REGION IV-A|LAGUNA,1699804,REGION IV-A,LAGUNA
38,REGION IV-A|QUEZON,1247674,REGION IV-A,QUEZON
39,REGION IV-A|RIZAL,1275452,REGION IV-A,RIZAL
40,REGION IV-B|MARINDUQUE,142016,REGION IV-B,MARINDUQUE
41,REGION IV-B|OCCIDENTAL MINDORO,256034,REGION IV-B,OCCIDENTAL MINDORO
42,REGION IV-B|ORIENTAL MINDORO,465934,REGION IV-B,ORIENTAL MINDORO
43,REGION IV-B|PALAWAN,661865,REGION IV-B,PALAWAN
44,REGION IV-B|ROMBLON,168532,REGION IV-B,ROMBLON
45,REGION IX|SULU,355868,REGION IX,SULU
46,REGION IX|ZAMBOANGA DEL NORTE,636827,REGION IX,ZAMBOANGA DEL NORTE
47,REGION IX|ZAMBOANGA DEL SUR,975416,REGION IX,ZAMBOANGA DEL SUR
48,REGION IX|ZAMBOANGA SIBUGAY,356156,REGION IX,ZAMBOANGA SIBUGAY
49,REGION I|ILOCOS NORTE,387957,REGION I,ILOCOS NORTE
50,REGION I|ILOCOS SUR,432555,REGION I,ILOCOS SUR
51,REGION I|LA UNION,485854,REGION I,LA UNION
52,REGION I|PANGASINAN,1869893,REGION I,PANGASINAN
53,REGION VIII|BILIRAN,103057,REGION VIII,BILIRAN
54,REGION VIII|EASTERN SAMAR,309174,REGION VIII,EASTERN SAMAR
55,REGION VIII|LEYTE,1204322,REGION VIII,LEYTE
56,REGION VIII|NORTHERN SAMAR,358383,REGION VIII,NORTHERN SAMAR
57,REGION VIII|SAMAR,503239,REGION VIII,SAMAR
58,REGION VIII|SOUTHERN LEYTE,266743,REGION VIII,SOUTHERN LEYTE
59,REGION VII|BOHOL,861655,REGION VII,BOHOL
60,REGION VII|CEBU,2934407,REGION VII,CEBU
61,REGION VI|AKLAN,361163,REGION VI,AKLAN
62,REGION VI|ANTIQUE,348353,REGION VI,ANTIQUE
63,REGION VI|CAPIZ,463886,REGION VI,CAPIZ
64,REGION VI|GUIMARAS,109148,REGION VI,GUIMARAS
65,REGION VI|ILOILO,1400831,REGION VI,ILOILO
66,REGION V|ALBAY,840183,REGION V,ALBAY
