prv_id,cand_id,vote_count
0,0,1761
0,1,11124
0,2,1826
0,3,2405
0,4,29688
0,5,2867
0,6,30395
0,7,21190
0,8,23856
0,9,2215
0,10,3639
0,11,2013
0,12,3077
0,13,3007
0,14,2978
0,15,2778
0,16,2103
0,17,4159
0,18,4190
0,19,4397
0,20,42343
0,21,40574
0,22,22801
0,23,10531
0,24,21428
0,25,31790
0,26,28351
0,27,117620
0,28,130537
0,29,81880
0,30,76429
0,31,53952
0,32,57241
0,33,3156
0,34,8590
0,35,12913
0,36,16075
0,37,5563
0,38,4041
0,39,2873
0,40,2063
0,41,2503
0,42,13123
0,43,4354
0,44,3539
0,45,1674
0,46,1959
0,47,2001
0,48,3017
0,49,2137
0,50,19015
0,51,9120
0,52,19669
0,53,2740
0,54,42280
0,55,6092
0,56,4462
0,57,1505
0,58,3951
0,59,895
0,60,66015
0,61,7157
0,62,3195
0,63,47621
0,64,54907
0,65,27188
1,0,2359
1,1,18649
1,2,2750
1,3,3331
1,4,64115
1,5,2951
1,6,30427
1,7,31078
1,8,59530
1,9,3389
1,10,7237
1,11,2986
1,12,5836
1,13,5732
1,14,4772
1,15,3824
1,16,3253
1,17,6542
1,18,16702
1,19,11465
1,20,84854
1,21,79051
1,22,53575
1,23,21735
1,24,26476
1,25,49984
1,26,47254
1,27,223648
1,28,247024
1,29,106894
1,30,134427
1,31,92679
1,32,115685
1,33,5840
1,34,15967
1,35,36108
1,36,18074
1,37,12634
1,38,9788
1,39,4005
1,40,2513
1,41,3666
1,42,38886
1,43,7850
1,44,55228
1,45,2209
1,46,3260
1,47,3088
1,48,5006
1,49,3262
1,50,33204
1,51,15488
1,52,25775
1,53,4228
1,54,57680
1,55,17410
1,56,6091
1,57,2130
1,58,7026
1,59,1477
1,60,148208
1,61,17688
1,62,4429
1,63,64225
1,64,118535
1,65,27491
2,0,2845
2,1,23862
2,2,3183
2,3,3184
2,4,49847
2,5,3071
2,6,59712
2,7,47015
2,8,44534
2,9,3696
2,10,5131
2,11,3024
2,12,4652
2,13,4727
2,14,4957
2,15,3774
2,16,2978
2,17,5042
2,18,13576
2,19,6253
2,20,58834
2,21,57042
2,22,44868
2,23,19610
