cand_id,name,party,party_full,party_code
0,"LEE, MANOY WILBERT (AKSYON)",AKSYON DEMOKRATIKO|AKSYON,AKSYON DEMOKRATIKO,AKSYON
1,"ONG, DOC WILLIE (AKSYON)",AKSYON DEMOKRATIKO|AKSYON,AKSYON DEMOKRATIKO,AKSYON
2,"CABONEGRO, ROY (DPP)",DEMOCRATIC PARTY OF THE PHILIPPINES|DPP,DEMOCRATIC PARTY OF THE PHILIPPINES,DPP
3,"ARELLANO, ERNESTO (KTPNAN)",KATIPUNAN NG KAMALAYANG KAYUMANGGI|KATIPUNAN,KATIPUNAN NG KAMALAYANG KAYUMANGGI,KATIPUNAN
4,"AQUINO, BAM (KNP)",KATIPUNAN NG NAGKAKAISANG PILIPINO PARTY|KANP,KATIPUNAN NG NAGKAKAISANG PILIPINO PARTY,KANP
5,"JOSE, RELLY JR. (KBL)",KILUSANG BAGONG LIPUNAN|KBL,KILUSANG BAGONG LIPUNAN,KBL
6,"TULFO, ERWIN (LAKAS)",LAKAS CHRISTIAN MUSLIM DEMOCRATS|LAKAS CMD,LAKAS CHRISTIAN MUSLIM DEMOCRATS,LAKAS CMD
7,"BONG REVILLA,RAMON, JR.(LAKAS)",LAKAS CHRISTIAN MUSLIM DEMOCRATS|LAKAS CMD,LAKAS CHRISTIAN MUSLIM DEMOCRATS,LAKAS CMD
8,"PANGILINAN, KIKO (LP)",LIBERAL PARTY|LP,LIBERAL PARTY,LP
9,"ADONIS, JEROME (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
10,"ARAMBULO, RONNEL (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
11,"ANDAMO, NARS ALYN (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
12,"BROSAS, ARLENE (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
13,"CASIÑO, TEDDY (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
14,"CASTRO, TEACHER FRANCE (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
15,"DORINGO, NANAY MIMI (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
16,"FLORANDA, MODY PISTON (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
17,"MAZA, LIZA (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
18,"LIDASAN, AMIRAH (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
19,"RAMOS, DANILO (MKBYN)",MAKABAYANG KOALISYON NG MAMAMAYAN|MAKABAYAN,MAKABAYANG KOALISYON NG MAMAMAYAN,MAKABAYAN
20,"MARCOS, IMEE R. (NP)",NACIONALISTA PARTY|NP,NACIONALISTA PARTY,NP
21,"VILLAR, CAMILLE (NP)",NACIONALISTA PARTY|NP,NACIONALISTA PARTY,NP
22,"CAYETANO, PIA (NP)",NACIONALISTA PARTY|NP,NACIONALISTA PARTY,NP
23,"QUERUBIN,  ARIEL PORFIRIO (NP)",NACIONALISTA PARTY|NP,NACIONALISTA PARTY,NP
24,"SOTTO, TITO (NPC)",NATIONALIST PEOPLE’S COALITION|NPC,NATIONALIST PEOPLE’S COALITION,NPC
25,"LAPID, LITO (NPC)",NATIONALIST PEOPLE’S COALITION|NPC,NATIONALIST PEOPLE’S COALITION,NPC
26,"BINAY, ABBY (NPC)",NATIONALIST PEOPLE’S COALITION|NPC,NATIONALIST PEOPLE’S COALITION,NPC
27,"DELA ROSA, BATO (PDPLBN)",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN|PDP LABAN,PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,PDP LABAN
